altitude_m,mass_kg,demand_bus_kw,engine_max_shaft_kw,engine_bus_available_kw,surplus_bus_kw,regime,cycling_blocker,charge_side_cycling_candidate,discharge_side_feasible,cycling_feasible,minimum_pack_capacity_kwh,minimum_discharge_c_rate,eta_charge,eta_discharge,round_trip_efficiency,optimal_engine_on_kw,duty_cycle,cycle_to_continuous_fuel_ratio,cycle_benefit_fraction,cycle_active_bound,battery_assist_bus_kw,battery_assist_rate_feasible,assisted_optimal_engine_kw,assisted_endurance_h,assisted_fuel_duration_h,assisted_battery_duration_h,assisted_active_bound,assisted_limiting_source,equal_duration_bus_energy_kwh,fuel_available_kg,idle_fuel_fraction,charge_c_rate,discharge_c_rate,restart_fuel_kg,minimum_on_time_s,minimum_off_time_s,efficiency_evaluation_soc
600.0,870.0119924408185,25.942190411140754,82.84489981175217,74.76752208010633,48.825331668965575,cycling_feasible,,True,True,True,8.647396803713585,2.5942190411140755,0.9960637059853846,0.9895993486044323,0.9857039946116535,39.82514172979585,0.7246577692383741,0.8838471758006882,0.11615282419931183,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
700.0,870.0119924408185,26.06887803328364,82.20167385000254,74.18701064962728,48.118132616343644,cycling_feasible,,True,True,True,8.689626011094546,2.606887803328364,0.9960637059853846,0.9895480152760829,0.9856528633463771,39.96551582635306,0.7256390519140044,0.8846016269573541,0.11539837304264589,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
800.0,870.0119924408185,26.196477158994043,81.56198326704741,73.60968989851028,47.41321273951624,cycling_feasible,,True,True,True,8.732159052998014,2.6196477158994043,0.9960637059853846,0.9894963071685031,0.9856013587771117,40.10689989916238,0.7266204530222241,0.8853543171700444,0.11464568282995558,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
900.0,870.0119924408185,26.324996463031116,80.92581668592948,73.03554955905135,46.710553096020234,cycling_feasible,,True,True,True,8.774998821010373,2.6324996463031116,0.9960637059853846,0.9894442206470145,0.985549477283486,40.24930356014528,0.7276019634839829,0.8861052347252112,0.11389476527478881,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1000.0,870.0119924408185,26.454444722948104,80.29316274026371,72.464579373088,46.0101346501399,cycling_feasible,,True,True,True,8.818148240982701,2.6454444722948103,0.9960637059853846,0.9893917520328336,0.9854972152011969,40.39273653512255,0.7285835741744392,0.8868543679282875,0.11314563207171247,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1100.0,870.0119924408185,26.584830820551414,79.66401007425166,71.89676909201212,45.311938271460704,cycling_feasible,,True,True,True,8.861610273517138,2.6584830820551413,0.9960637059853846,0.9893388976024513,0.9854445688213926,40.53720866543093,0.7295652759229873,0.8876017051044863,0.11239829489551367,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1200.0,870.0119924408185,26.71616374338366,79.03834734269617,71.33210847678329,44.61594473339963,cycling_feasible,,True,True,True,8.90538791446122,2.671616374338366,0.9960637059853846,0.989285653586978,0.9853915343900187,40.68272990956638,0.7305470595132897,0.8883472345996097,0.11165276540039026,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1300.0,870.0119924408185,26.84845258623148,78.41616321101601,70.77058729794194,43.92213471171046,cycling_feasible,,True,True,True,8.949484195410493,2.684845258623148,0.9960637059853846,0.989232016171467,0.9853381081071454,40.829310344854825,0.7315289156833146,0.8890909447808646,0.11090905521913541,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1400.0,870.0119924408185,26.98170655265832,77.79744635526015,70.21219533562228,43.23048878296396,cycling_feasible,,True,True,True,8.99390218421944,2.698170655265832,0.9960637059853846,0.9891779814942558,0.9852842861263107,40.9769601691505,0.7325108351253707,0.889832824037678,0.11016717596232195,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1500.0,870.0119924408185,27.11593495656279,77.18218546212303,69.65692237956603,42.54098742300324,cycling_feasible,,True,True,True,9.03864498552093,2.711593495656279,0.9960637059853846,0.9891235456462403,0.9852300645537978,41.125689702562646,0.7334928084861561,0.8905728607825311,0.10942713921746894,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1600.0,870.0119924408185,27.25114722376299,76.57036922895888,69.10475822913538,41.85361100537239,cycling_feasible,,True,True,True,9.08371574125433,2.7251147223762993,0.9960637059853846,0.9890687046702283,0.9851754394479916,41.275509389211074,0.7344748263667883,0.8913110434517735,0.10868895654822652,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1700.0,870.0119924408185,27.387352893607584,75.96198636379648,68.55569269332632,41.16833979971874,cycling_feasible,,True,True,True,9.129117631202528,2.7387352893607586,0.9960637059853846,0.9890134545601772,0.9851204068186179,41.426429799011174,0.7354568793228649,0.8920473605064737,0.10795263949352629,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1800.0,870.0119924408185,27.524561620613483,75.35702558535462,68.00971559078255,40.485153970169065,cycling_feasible,,True,True,True,9.174853873537828,2.7524561620613484,0.9960637059853846,0.9889577912605088,0.9850649626260628,41.57846162948862,0.7364389578644993,0.892781800433246,0.10721819956675405,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
1900.0,870.0119924408185,27.66278317613159,74.75547562305617,67.46681674980819,39.8040335736766,cycling_feasible,,True,True,True,9.220927725377196,2.766278317613159,0.9960637059853846,0.9889017106653202,0.9850091027805854,41.73161570762503,0.7374210524563868,0.8935143517451083,0.10648564825489171,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2000.0,870.0119924408185,27.802027450040224,74.15732521704379,66.92698600838202,39.12495855834179,cycling_feasible,,True,True,True,9.267342483346741,2.7802027450040225,0.9960637059853846,0.988845208617695,0.984952823141632,41.885902991734326,0.7384031535178444,0.8942450029823192,0.10575499701768076,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2100.0,870.0119924408185,27.94230445246735,73.56256311819459,66.39021321417061,38.44790876170326,cycling_feasible,,True,True,True,9.314101484155783,2.7942304452467353,0.9960637059853846,0.9887882809088933,0.9848961195170297,42.04133457337103,0.7393852514228784,0.894973742713241,0.10502625728675896,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2200.0,870.0119924408185,28.08362431554203,72.97117808813509,65.85648822454192,37.772863908999895,cycling_feasible,,True,True,True,9.361208105180676,2.808362431554203,0.9960637059853846,0.9887309232775902,0.9848389876622274,42.19792167927094,0.7403673365002412,0.8957005595351997,0.10429944046480033,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2300.0,870.0119924408185,28.225997295175365,72.38315889925686,65.3258009065793,37.09980361140394,cycling_feasible,,True,True,True,9.408665765058455,2.8225997295175365,0.9960637059853846,0.9886731314090971,0.9847814232795205,42.3556756733245,0.7413493990334905,0.8964254420753411,0.10357455792465886,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2400.0,870.0119924408185,28.369433772872146,71.79849433473129,64.79814113709499,36.428707364222845,cycling_feasible,,True,True,True,9.456477924290715,2.8369433772872146,0.9960637059853846,0.9886149009345125,0.9847234220172044,42.514608058584095,0.7423314292610664,0.8971483789915172,0.10285162100848277,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2500.0,870.0119924408185,28.51394425757301,71.21717318852504,64.27349880264384,35.759554545070834,cycling_feasible,,True,True,True,9.504648085857669,2.851394425757301,0.9960637059853846,0.9885562274299773,0.9846649794688339,42.674730479305275,0.7433134173763433,0.8978693589731379,0.10213064102686209,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2600.0,870.0119924408185,28.65953938752843,70.63918426541518,63.7518637995372,35.092324412008765,cycling_feasible,,True,True,True,9.55317979584281,2.8659539387528428,0.9960637059853846,0.9884971064157726,0.9846060911723236,42.83605472302319,0.7442953535277157,0.8985883707420687,0.10141162925793135,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2700.0,870.0119924408185,28.806229932204594,70.06451638100481,63.23322603385684,34.42699610165224,cycling_feasible,,True,True,True,9.602076644068198,2.8806229932204594,0.9960637059853846,0.9884375333554887,0.9845467526091203,42.99859272266437,0.7452772278186693,0.8993054030535095,0.10069459694649052,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2800.0,870.0119924408185,28.954026794222205,69.49315836173845,62.71757542146895,33.76354862724675,cycling_feasible,,True,True,True,9.651342264740736,2.8954026794222205,0.9960637059853846,0.9883775036552007,0.9844869592033823,43.16235655869496,0.7462590303078511,0.9000204446968729,0.09997955530312708,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
2900.0,870.0119924408185,29.102941011328607,68.92509904491727,62.20490188803784,33.10196087670923,cycling_feasible,,True,True,True,9.700980337109536,2.9102941011328607,0.9960637059853846,0.9883170126625229,0.9844267063210369,43.32735846130594,0.7472407510091621,0.9007334844966944,0.09926651550330556,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3000.0,870.0119924408185,29.252983758403968,68.36032727871502,61.695195369040306,32.442211610636335,cycling_feasible,,True,True,True,9.750994586134656,2.9252983758403968,0.9960637059853846,0.9882560556657793,0.9843659892689547,43.49361081263598,0.7482223798918293,0.9014445113135128,0.09855548868648722,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3100.0,870.0119924408185,29.404166349502177,67.79883192219343,61.188445809779566,31.78427946027739,cycling_feasible,,True,True,True,9.801388783167392,2.9404166349502177,0.9960637059853846,0.9881946278930481,0.9843048032939976,43.66112614903288,0.7492039068804991,0.9021535140447825,0.0978464859552175,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3200.0,870.0119924408185,29.5565002399273,67.24060184531774,60.68464316539926,31.12814292547196,cycling_feasible,,True,True,True,9.852166746642434,2.95565002399273,0.9960637059853846,0.9881327245112469,0.9842431435821077,43.82991716335435,0.7501853218553262,0.9028604816257769,0.09713951837422308,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3300.0,870.0119924408185,29.709997028345885,66.68562592897293,60.183777400898066,30.47378037255218,cycling_feasible,,True,True,True,9.903332342781962,2.9709997028345887,0.9960637059853846,0.9880703406251988,0.9841810052573768,43.999996707308455,0.7511666146520626,0.9035654030304965,0.09643459696950352,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3400.0,870.0119924408185,29.864668458936386,66.13389306497892,59.68583849114347,29.821170032207085,cycling_feasible,,True,True,True,9.954889486312128,2.9864668458936388,0.9960637059853846,0.9880074712766663,0.9841183833810847,44.17137779383533,0.7521477750621548,0.9042682672725837,0.09573173272741631,charge_ceiling,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3500.0,870.0119924408185,30.020526423575976,65.58539215610695,59.19081642088652,29.170289997310544,engine_limited_continuous,battery_discharge_limit,True,False,False,10.006842141191992,3.0020526423575977,0.9960637059853846,0.9879441114433615,0.9840552729507125,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3600.0,870.0119924408185,30.1775829640658,65.04011211609503,58.698701184775764,28.521118220709965,engine_limited_continuous,battery_discharge_limit,True,False,False,10.059194321355266,3.01775829640658,0.9960637059853846,0.9878802560379696,0.9839916688989706,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3700.0,870.0119924408185,30.335850274395185,64.49804186966428,58.20948278737201,27.873632512976826,engine_limited_continuous,battery_discharge_limit,True,False,False,10.111950091465062,3.0335850274395186,0.9960637059853846,0.987815899907112,0.9839275660927658,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3800.0,870.0119924408185,30.495340703045873,63.959170352534905,57.72315124316275,27.227810540116874,engine_limited_continuous,battery_discharge_limit,True,False,False,10.165113567681958,3.0495340703045875,0.9960637059853846,0.9877510378303326,0.9838629593321909,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
3900.0,870.0119924408185,30.656066755336873,63.423486511442,57.23969657657641,26.583629821239533,engine_limited_continuous,battery_discharge_limit,True,False,False,10.218688918445624,3.0656066755336875,0.9960637059853846,0.9876856645190346,0.983797843349467,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4000.0,870.0119924408185,30.818041095810678,62.890979304152324,56.75910882199747,25.941067726186795,engine_limited_continuous,battery_discharge_limit,True,False,False,10.272680365270226,3.0818041095810678,0.9960637059853846,0.9876197746154122,0.9837322128078777,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4100.0,870.0119924408185,30.981276550662137,62.361637699479864,56.281378023780576,25.30010147311844,engine_limited_continuous,battery_discharge_limit,True,False,False,10.327092183554045,3.0981276550662136,0.9960637059853846,0.987553362691375,0.9836660623006996,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4200.0,870.0119924408185,31.14578611021025,61.8354506773025,55.8064942362655,24.66070812605525,engine_limited_continuous,battery_discharge_limit,True,False,False,10.381928703403416,3.1145786110210247,0.9960637059853846,0.9874864232474005,0.9835993863500578,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4300.0,870.0119924408185,31.31158293141403,61.312407228578486,55.33444752379208,24.02286459237805,engine_limited_continuous,battery_discharge_limit,True,False,False,10.437194310471343,3.131158293141403,0.9960637059853846,0.9874189507114323,0.983532179405829,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4400.0,870.0119924408185,31.478680340433637,60.79249635536248,54.865227960714634,23.386547620280997,engine_limited_continuous,battery_discharge_limit,True,False,False,10.492893446811212,3.1478680340433636,0.9960637059853846,0.9873509394377181,0.9834644358444846,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4500.0,870.0119924408185,31.647091835237017,60.27570707082241,54.398825631417225,22.751733796180208,engine_limited_continuous,battery_discharge_limit,True,False,False,10.549030611745673,3.164709183523702,0.9960637059853846,0.9872823837056455,0.9833961499679298,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4600.0,870.0119924408185,31.81683108825368,59.76202839925586,53.93523063032841,22.118399542074734,engine_limited_continuous,battery_discharge_limit,True,False,False,10.605610362751227,3.181683108825368,0.9960637059853846,0.9872132777185131,0.9833273160022808,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4700.0,870.0119924408185,31.987911949076143,59.2514493761066,53.4744330619362,21.48652111286006,engine_limited_continuous,battery_discharge_limit,True,False,False,10.662637316358714,3.1987911949076144,0.9960637059853846,0.9871436156023677,0.9832579280967063,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4800.0,870.0119924408185,32.160348447210104,58.74395904798158,53.016423040803375,20.85607459359327,engine_limited_continuous,battery_discharge_limit,True,False,False,10.720116149070035,3.2160348447210105,0.9960637059853846,0.9870733914047011,0.9831879803221286,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
4900.0,870.0119924408185,32.334154794874564,58.23954647266735,52.56119069158228,20.22703589670772,engine_limited_continuous,battery_discharge_limit,True,False,False,10.77805159829152,3.2334154794874563,0.9960637059853846,0.9870025990932259,0.9831174666700053,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5000.0,870.0119924408185,32.50934538985254,57.7382007191472,52.108726149030346,19.599380759177805,engine_limited_continuous,battery_discharge_limit,True,False,False,10.83644846328418,3.250934538985254,0.9960637059853846,0.9869312325545708,0.9830463810510293,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5100.0,870.0119924408185,32.68593481839399,57.23991086761771,51.65901955802498,18.97308473963099,engine_limited_continuous,battery_discharge_limit,True,False,False,10.89531160613133,3.2685934818393987,0.9960637059853846,0.986859285592978,0.9829747172938307,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5200.0,870.0119924408185,32.863937858171205,56.744666009506055,51.212061073579214,18.34812321540801,engine_limited_continuous,battery_discharge_limit,True,False,False,10.954645952723736,3.2863937858171206,0.9960637059853846,0.9867867519289482,0.9829024691436284,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5300.0,870.0119924408185,33.04336948128878,56.25245524748686,50.767840860856886,17.724471379568108,engine_limited_continuous,battery_discharge_limit,True,False,False,11.014456493762927,3.304336948128878,0.9960637059853846,0.9867136251978833,0.9828296302608774,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5400.0,870.0119924408185,33.22424485734839,55.763267695499216,50.32634909518804,17.102104237839654,engine_limited_continuous,battery_discharge_limit,True,False,False,11.074748285782796,3.322424485734839,0.9960637059853846,0.9866398989487214,0.9827561942199088,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5500.0,870.0119924408185,33.406579356570056,55.27709247876413,49.887575962084625,16.48099660551457,engine_limited_continuous,battery_discharge_limit,True,False,False,11.13552645219002,3.3406579356570054,0.9960637059853846,0.9865655666424661,0.9826821545074658,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5600.0,870.0119924408185,33.59038855297094,54.793918733801476,49.45151165725583,15.861123104284886,engine_limited_continuous,battery_discharge_limit,True,False,False,11.196796184323647,3.3590388552970945,0.9960637059853846,0.9864906216508036,0.9826075045213253,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5700.0,870.0119924408185,33.775688227602885,54.31373560844746,49.01814638662383,15.242458159020948,engine_limited_continuous,battery_discharge_limit,True,False,False,11.258562742534295,3.3775688227602885,0.9960637059853846,0.9864150572545873,0.9825322375687896,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
5800.0,870.0119924408185,33.96249437184979,53.83653226187207,48.587470366339545,14.624975994489752,engine_limited_continuous,battery_discharge_limit,True,False,False,11.320831457283264,3.3962494371849794,0.9960637059853846,0.9863388666423484,0.9824563468652016,nan,nan,nan,nan,,0.0,True,nan,nan,nan,nan,,,nan,158.62219075175994,0.2,1.0,3.0,0.0,300.0,300.0,0.55
