altitude_m,mass_kg,demand_bus_kw,minimum_pack_capacity_kwh,minimum_discharge_c_rate
6400.0,728.2068932853477,26.890445640214,8.963481880071333,2.6890445640214002
6500.0,728.2068932853477,27.0419270030331,9.0139756676777,2.70419270030331
6600.0,728.2068932853477,27.19466604654189,9.06488868218063,2.719466604654189
6700.0,728.2068932853477,27.348676587638213,9.116225529212738,2.734867658763821
6800.0,728.2068932853477,27.50397263228766,9.16799087742922,2.750397263228766
6900.0,728.2068932853477,27.66056837862346,9.220189459541153,2.766056837862346
7000.0,728.2068932853477,27.81847822010571,9.27282607336857,2.781847822010571
7100.0,728.2068932853477,27.977716748741237,9.325905582913746,2.7977716748741237
7200.0,728.2068932853477,28.138298758365305,9.379432919455102,2.8138298758365305
7300.0,728.2068932853477,28.300239247986568,9.43341308266219,2.830023924798657
7400.0,728.2068932853477,28.463553425196746,9.487851141732248,2.846355342519675
7500.0,728.2068932853477,28.628256709646323,9.542752236548774,2.8628256709646323
7600.0,728.2068932853477,28.794364736587877,9.598121578862626,2.879436473658788
7700.0,728.2068932853477,28.961893360488354,9.653964453496117,2.8961893360488355
7800.0,728.2068932853477,29.13085865871208,9.710286219570692,2.9130858658712078
7900.0,728.2068932853477,29.30127693527577,9.76709231175859,2.930127693527577
8000.0,728.2068932853477,29.473164724677495,9.824388241559165,2.9473164724677496
8100.0,728.2068932853477,29.646538795800986,9.88217959860033,2.9646538795800987
8200.0,728.2068932853477,29.821416155897122,9.940472051965708,2.982141615589712
8300.0,728.2068932853477,29.997814054644238,9.99927135154808,2.999781405464424
8400.0,728.2068932853477,30.175749988289283,10.05858332942976,3.017574998828928
8500.0,728.2068932853477,30.35524170387131,10.118413901290436,3.035524170387131
8600.0,728.2068932853477,30.536307203529358,10.178769067843119,3.0536307203529356
8700.0,728.2068932853477,30.718964748896834,10.239654916298944,3.0718964748896833
8800.0,728.2068932853477,30.90323286558397,10.301077621861323,3.090323286558397
8900.0,728.2068932853477,31.089130347750725,10.363043449250242,3.1089130347750724
9000.0,728.2068932853477,31.27667626277208,10.425558754257361,3.127667626277208
9100.0,728.2068932853477,31.46588995599786,10.48862998533262,3.146588995599786
9200.0,728.2068932853477,31.656791055609215,10.552263685203071,3.1656791055609217
9300.0,728.2068932853477,31.849399477574227,10.616466492524742,3.1849399477574227
9400.0,728.2068932853477,32.04373543070473,10.681245143568242,3.204373543070473
9500.0,728.2068932853477,32.23981942181665,10.746606473938883,3.223981942181665
9600.0,728.2068932853477,32.437672260996706,10.812557420332235,3.2437672260996706
9700.0,728.2068932853477,32.63731506697745,10.879105022325817,3.263731506697745
9800.0,728.2068932853477,32.83876927262348,10.946256424207826,3.283876927262348
9900.0,728.2068932853477,33.04205663053158,11.014018876843862,3.304205663053158
10000.0,728.2068932853477,33.24719921874711,11.082399739582371,3.324719921874711
0.0,734.1154390834924,19.533130525453654,6.511043508484551,1.9533130525453655
100.0,734.1154390834924,19.627224142804334,6.542408047601445,1.9627224142804334
200.0,734.1154390834924,19.72198553731578,6.57399517910526,1.972198553731578
300.0,734.1154390834924,19.81742097749616,6.60580699249872,1.9817420977496158
400.0,734.1154390834924,19.91353680511842,6.63784560170614,1.991353680511842
500.0,734.1154390834924,20.01033943624581,6.670113145415271,2.001033943624581
600.0,734.1154390834924,20.107835362274304,6.702611787424768,2.0107835362274304
700.0,734.1154390834924,20.206031150992033,6.7353437169973445,2.0206031150992034
