capacity_kwh,idle_fuel_fraction,pack_mass_delta_kg,fuel_capacity_cost_kg,discharge_enabling_benefit_kg,charge_ceiling_benefit_kg,gross_operational_benefit_kg,net_fuel_benefit_kg,loiter_endurance_h,endurance_change_h
15.5,0.15,29.333333333333336,27.41433021806847,3.894273916350812,6.50949107501674,10.403764991367552,-17.01056522670092,13.100361837226362,-1.2815571835165542
15.75,0.15,30.666666666666664,28.6604361370716,3.902220803766795,6.767754293594294,10.669975097361089,-17.99046103971051,13.025961765852562,-1.3559572548903542
16.0,0.15,31.999999999999993,29.906542056074727,3.9099182153332777,7.0231111006906985,10.933029316023976,-18.97351274005075,12.951291105357718,-1.4306279153851982
16.25,0.15,33.333333333333336,31.152647975077798,3.917377717946124,7.2756847616501545,11.193062479596279,-19.95958549548152,12.876357641004024,-1.505561379738893
16.5,0.15,34.666666666666664,32.398753894080926,3.9246101742689916,7.525422460140021,11.450032634409013,-20.948721259671913,12.801168980546938,-1.5807500401959782
16.75,0.15,35.99999999999999,33.64485981308411,3.931625795540981,7.772427884328408,11.70405367986939,-21.94080613321472,12.725732558895855,-1.6561864618470619
17.0,0.15,37.333333333333336,34.89096573208715,3.9384341896784463,8.016737173852448,11.955171363530894,-22.93579436855626,12.65005564262917,-1.7318633781137471
17.25,0.15,38.666666666666664,36.13707165109028,3.945044405196427,8.258337011719505,12.203381416915931,-23.93369023417435,12.574145334368927,-1.8077736863739897
17.5,0.15,39.99999999999999,37.38317757009344,3.951464971334076,8.497385926454399,12.448850897788475,-24.934326672304962,12.498008577020652,-1.8839104437222645
17.75,0.15,41.333333333333336,38.62928348909648,3.9577039347810796,8.733802081305612,12.691506016086691,-25.93777747300979,12.421652157882852,-1.960266862860065
18.0,0.15,42.666666666666664,39.875389408099636,3.96376889333294,8.967703550586407,12.931472443919347,-26.94391696418029,12.345082712631426,-2.036836308111491
18.25,0.15,43.99999999999999,41.12149532710279,3.969667026762295,9.199097860579968,13.168764887342263,-27.95273043976053,12.268306729183289,-2.113612291559628
18.5,0.15,45.333333333333336,42.367601246105835,3.975405125173779,9.428012629610521,13.4034177547843,-28.964183491321535,12.191330551443453,-2.1905884692994633
18.75,0.15,46.666666666666664,43.61370716510899,3.9809896150962913,9.65453813271506,13.635527747811352,-29.97817941729764,12.114160382940076,-2.2677586378028405
19.0,0.15,47.99999999999999,44.85981308411215,3.9864265834961543,9.878623729693913,13.865050313190068,-30.99476277092208,12.03680229035113,-2.345116730391787
19.25,0.15,49.333333333333336,46.10591900311519,3.9917217999030754,10.100427653676093,14.092149453579168,-32.01376954953602,11.95926220692646,-2.422656813816456
19.5,0.15,50.666666666666664,47.35202492211832,3.996880736849903,10.319853250432402,14.316733987282305,-33.03529093483601,11.881545935809413,-2.5003730849335035
19.75,0.15,51.99999999999999,48.598130841121474,4.001908588736228,10.537059615619455,14.538968204355683,-34.05916263676579,11.803659153260742,-2.578259867482174
20.0,0.15,53.333333333333336,49.84423676012452,4.006810289274426,10.751972000787418,14.758782290061845,-35.08545447006267,11.725607411788848,-2.656311608954068
10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.658427861581206,0.0
10.25,0.2,1.3333333333333286,1.2461059190030142,1.0981223918566911,0.36564795334720657,1.4637703452038977,0.21766442620088355,13.67373023432713,0.015302372745923165
10.5,0.2,2.6666666666666643,2.492211838006199,2.134743197805051,0.7637286762071653,2.898471874012216,0.40626003600601734,13.687011979216877,0.02858411763567048
10.75,0.2,4.0,3.7383177570093267,3.114375229635357,1.1907605856789587,4.3051358153143156,0.5668180583049889,13.698341865573823,0.03991400399261735
11.0,0.2,5.333333333333329,4.984423676012398,4.041081706755676,1.6437643439227259,5.684846050678402,0.7004223746660045,13.707785597741399,0.0493577361601929
11.210476464413189,0.2,6.455874476870335,6.033527548476968,4.7829606492740595,2.0432057686421103,6.82616641791617,0.7926388694392017,13.714319512514367,0.05589165093316062
11.25,0.2,6.666666666666664,6.2305295950155255,4.7854183092445055,2.1078973298060646,6.89331563905057,0.6627860440350446,13.705173496470872,0.046745634889665766
11.5,0.2,8.0,7.476635514018653,4.800569934442933,2.5141106709565975,7.314680605399531,-0.16195490861912276,13.646989463814602,-0.011438397766603714
11.75,0.2,9.333333333333329,8.722741433021724,4.815072705997181,2.915376838736961,7.730449544734142,-0.992291888287582,13.588247027774697,-0.07018083380650886
12.0,0.2,10.666666666666664,9.968847352024852,4.828967435103436,3.3117714486785417,8.140738883781978,-1.828108468242874,13.52895877731229,-0.12946908426891568
12.25,0.2,11.999999999999993,11.214953271028037,4.84229158027415,3.7033699567219855,8.545661536996136,-2.6692917340319013,13.469137024799876,-0.18929083678133019
12.5,0.2,13.333333333333336,12.461059190031051,4.855079584737496,4.090247457015039,8.945327041752535,-3.5157321482785164,13.408793813320269,-0.24963404826093694
12.75,0.2,14.666666666666664,13.707165109034236,4.867363173880108,4.472478513220722,9.33984168710083,-4.367323421933406,13.347940923718639,-0.3104869378625672
13.0,0.2,15.999999999999993,14.953271028037364,4.8791716181681295,4.850137018277678,9.729308636445808,-5.223962391591556,13.286589881419351,-0.371837980161855
13.25,0.2,17.333333333333336,16.199376947040435,4.8905319661161,5.223301283725959,10.11383324984206,-6.085543697198375,13.224751963019509,-0.4336758985616971
13.5,0.2,18.666666666666664,17.445482866043562,4.9014692512199645,5.592058111546862,10.493527362766827,-6.951955503276736,13.162438202668874,-0.4959896589123325
13.75,0.2,19.999999999999993,18.69158878504669,4.912006676180567,5.956462293201639,10.868468969382207,-7.823119815664484,13.099659398246366,-0.5587684633348395
14.0,0.2,21.333333333333336,19.93769470404976,4.922165777289933,6.316584029011892,11.238749806301826,-8.698944897747936,13.036426117341376,-0.6220017442398298
14.25,0.2,22.666666666666664,21.18380062305289,4.931966571391968,6.672492447213017,11.604459018604985,-9.579341604447905,12.972748703048804,-0.6856791585324018
14.5,0.2,23.999999999999993,22.429906542056074,4.941427687586838,7.024255565172211,11.96568325275905,-10.464223289297024,12.90863727958506,-0.7497905819961463
14.75,0.2,25.333333333333336,23.676012461059088,4.950566485450167,7.371940260022598,12.322506745472765,-11.353505715586323,12.844101757732323,-0.8143261038488827
15.0,0.2,26.666666666666664,24.922118380062273,4.959399161368424,7.71561224733523,12.675011408703654,-12.247106971358619,12.779151840118105,-0.8792760214631006
15.25,0.2,27.999999999999993,26.1682242990654,4.967940844377495,8.055348465493239,13.023289309870734,-13.144934989194667,12.713797026336382,-0.9446308352448245
15.5,0.2,29.333333333333336,27.41433021806847,4.976205682655518,8.391237159893649,13.367442842549167,-14.046887375519304,12.64804661791599,-1.0103812436652166
15.75,0.2,30.666666666666664,28.6604361370716,4.984206921762052,8.723306205042036,13.707513126804088,-14.952923010267511,12.58190972314284,-1.0765181384383666
16.0,0.2,31.999999999999993,29.906542056074727,4.991956975483959,9.051616539988686,14.043573515472644,-15.862968540602083,12.515395261740235,-1.1430325998409714
16.25,0.2,33.333333333333336,31.152647975077798,4.999467490130428,9.376227920727956,14.375695410858384,-16.776952564219414,12.448511969413596,-1.2099158921676096
16.5,0.2,34.666666666666664,32.398753894080926,5.006749402935839,9.69720311987328,14.703952522809118,-17.694801371271808,12.381268402263592,-1.2771594593176143
16.75,0.2,35.99999999999999,33.64485981308411,5.013812995228477,10.01465488331337,15.028467878541846,-18.616391934542264,12.313672941072769,-1.3447549205084375
17.0,0.2,37.333333333333336,34.89096573208715,5.020667940864655,10.328582761323105,15.34925070218776,-19.541715029899393,12.24573379547003,-1.4126940661111753
17.25,0.2,38.666666666666664,36.13707165109028,5.027323350454708,10.63904183610623,15.666365186560938,-20.470706464529343,12.177459007977165,-1.4809688536040415
17.5,0.2,39.99999999999999,37.38317757009344,5.033787811762295,10.946086065586428,15.979873877348723,-21.403303692744714,12.108856457941515,-1.5495714036396908
17.75,0.2,41.333333333333336,38.62928348909648,5.040069426684909,11.249829778082471,16.28989920476738,-22.3393842843291,12.039933865358583,-1.6184939962226235
18.0,0.2,42.666666666666664,39.875389408099636,5.046175845140169,11.550278678503787,16.596454523643956,-23.27893488445568,11.970698794588369,-1.687729066992837
